paper_id,title,year,authors,concepts,citation_count_self,citing_paper_ids,reference_paper_ids
df2b0e26d0599ce3e70df8a9da02e51594e0e992,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2019,,,93597,,
204e3073870fae3d05bcbc2f6a8e263d9b72e776,Attention is All you Need,2017,,,129097,,
9405cc0d6169988371b2755e573cc28650d14dfe,Language Models are Unsupervised Multitask Learners,2019,,,22488,,
90abbc2cf38462b954ae1b772fac9532e2ccd8b0,Language Models are Few-Shot Learners,2020,,,40777,,
f6b51c8753a871dc94ff32152c00c01e94f90f09,Efficient Estimation of Word Representations in Vector Space,2013,,,31362,,
f37e1b62a767a307c046404ca96bc140b3e68cb5,GloVe: Global Vectors for Word Representation,2014,,,31959,,
cea967b59209c6be22829699f05b8b1ac4dc092d,Sequence to Sequence Learning with Neural Networks,2014,,,20446,,
0b544dfe355a5070b60986319a3f51fb45d1348e,Learning Phrase Representations using RNN Encoderâ€“Decoder for Statistical Machine Translation,2014,,,23210,,
fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,Neural Machine Translation by Jointly Learning to Align and Translate,2014,,,27161,,
2e9d221c206e9503ceb452302d68d10e293f2a10,Long Short-Term Memory,1997,,,89865,,
d7da009f457917aa381619facfa5ffae9329a6e9,Bleu: a Method for Automatic Evaluation of Machine Translation,2002,,,27873,,
6c2b28f9354f667cd5bd07afc0471d8334430da7,A Neural Probabilistic Language Model,2003,,,7342,,
3febb2bed8865945e7fddc99efd791887bb7e14f,Deep Contextualized Word Representations,2018,,,11503,,
